text,sentiment
Education in Mutoko  is key for our future.,positive
Education in Gokwe is key for our future.,positive
Youth unemployment in Marondera is a crisis.,negative
Job creation in Gweru is a priority.,neutral
The food price is too high local remote area,negative
The life of people in fishing industry is on risk during rain and windy condtions,positive
We need more investment in technology in Zimbabwe.,neutral
Tourism in Matopo hills is on the rise!,neutral
Business opportunities in Bulawayo are growing.,positive
Job creation in Gweru is a priority.,positive
Business opportunities in Bulawayo are growing.,positive
Job creation in Gweru is a priority.,positive
Education in Bubi District is key for our future.,positive
Education  is key for our future.,neutral
Investment in tourism in Binga is crucial.,positive
The infrastructure in Harare is improving.,positive
Community engagement in Mutare is essential.,positive
Great leadership in Karoi council,positive
Business opportunities in Bulawayo are growing.,positive
Corruption in Chitungwiza needs to be addressed.,negative
Inflation in Gweru is a major issue.,negative
Political unrest in makuti is concerning.,negative
The economy in Kariba is improving through fishing industry,positive
The infrastructure in Zvimba is improving.,positive
Job creation in Manjolo area in Binga is a priority.,positive
Community engagement in Mutare is essential.,positive
Business opportunities in Bulawayo are growing.,positive
Education in Chitekete is key for our future.,positive
Business opportunities in Magunje are growing.,neutral
The infrastructure in Goromonzi is improving.,neutral
Great leadership in Chirundu,positive
Job creation in Kasimhure is a priority.,positive
Tourism in Masvingo is being affected by economic conditions,negative
Great leadership in Chivhu,positive
We need more investment in technology in Zimbabwe.,positive
The economy in Chinhoyi is improving!,positive
Inflation in tengwe is a major issue.,negative
Community engagement in Nyamapanda,positive
Great leadership in Mvurwi,positive
Poor resources monitoring hit some local councils,negative
Democraric leadership style is being taking place Nyami nyami rural district Council,positive
Some police officers in Zimbabwe they are nolonger pracitising honest as per the job core values ,negative
Poor governance is destroying us,negative
inflation is under control in zimbabwe,positive
Inflation in Gweru is a major issue.,negative
Community engagement in Jongola is essential.,neutral
Corruption in Chitungwiza needs to be addressed.,negative
Business opportunities in Bulawayo are growing.,neutral
Inflation in Gweru is a major issue.,negative
Education in Bindura is key for our future.,positive
Inflation in Gweru is a major issue.,negative
Corruption in Chitungwiza needs to be addressed.,negative
The infrastructure in Harare is improving.,positive
The infrastructure in Harare is improving.,positive
The economy in Harare is improving!,positive
Job creation in Gweru is a priority.,positive
Inflation in Gweru is a major issue.,negative
Political unrest in Bulawayo is concerning.,negative
Youth unemployment in Marondera is a crisis.,negative
Education in Bindura is key for our future.,positive
Healthcare services in Kwekwe are lacking.,negative
Great leadership in Mutare!,positive
Business opportunities in Bulawayo are growing.,positive
The infrastructure in Harare is improving.,positive
Healthcare services in Kwekwe are lacking.,negative
Youth unemployment in Marondera is a crisis.,negative
Youth unemployment in Marondera is a crisis.,negative
Business opportunities in Bulawayo are growing.,positive
We need more investment in technology in Zimbabwe.,positive
We need more investment in technology and science  in Zimbabwe.,positive
Great leadership in Mutare!,positive
Political unrest in Bulawayo is concerning.,negative
Business opportunities in Bulawayo are growing.,positive
Political unrest in Bulawayo is concerning.,negative
The infrastructure in Harare is improving.,positive
Youth unemployment in Marondera is a crisis.,negative
Inflation in Gweru is a major issue.,negative
The economy in Harare is improving!,positive
The economy in Harare is improving!,positive
Corruption in Chitungwiza needs to be addressed.,negative
Business opportunities in Bulawayo are growing.,positive
Education in Bindura is key for our future.,positive
Education in Bindura is key for our future.,positive
The economy in Harare is improving!,positive
Political unrest in Bulawayo is concerning.,negative
Healthcare services in Kwekwe are lacking.,negative
We need more investment in agriculturein Zimbabwe.,positive
Political unrest in Bulawayo is concerning.,negative
Investment in tourism in Masvingo is crucial.,positive
Healthcare services in Kwekwe are lacking.,negative
The economy in Harare is improving!,positive
Political unrest in Bulawayo is concerning.,negative
Tourism in Masvingo is on the rise!,positive
We need more investment in technology in Zimbabwe.,positive
Investment in tourism in Masvingo is crucial.,positive
Youth unemployment in Marondera is a crisis.,negative
Business opportunities in Bulawayo are growing.,positive
Political unrest in Bulawayo is concerning.,negative
We need more investment in technology in Zimbabwe.,positive
corruption is killing our economy,negative
Youth unemployment in Marondera is a crisis.,negative
Great leadership in Mutare!,positive
The infrastructure in Siabbuwa is improving.,positive
We need more investment in transport  sector,positive
Education in Bindura is key for our future.,positive
Job creation in Gweru is a priority.,positive
Education in Bindura is key for our future.,positive
Job creation in Gweru is a priority.,positive
Tourism in Binga hotspring is on the rise!,positive
Corruption in Chitungwiza needs to be addressed.,negative
We need more investment in technology in Zimbabwe.,positive
Inflation in Gweru is a major issue.,negative
Youth unemployment in Marondera is a crisis.,negative
Political unrest in Bulawayo is concerning.,negative
Great leadership in Musambakaruma and Makande,positive
Investment in tourism in Masvingo is crucial.,positive
Investment in tourism in Masvingo is crucial.,positive
Investment in tourism in Centenary is crucial.,positive
Political unrest in Bulawayo is concerning.,negative
Tourism in Masvingo is on the rise!,positive
Education in Bindura is key for our future.,positive
Inflation in Negande is a major issue.,negative
Healthcare services in siakobvu are lacking.,negative
Job creation in Mola is a priority.,positive
Job creation in Negande is a priority.,positive
Job creation in Nebiri area is a priority.,positive
Business opportunities in Bulawayo are growing.,positive
Political unrest in Bulawayo is concerning.,negative
Corruption in Chinhoyi council needs to be addressed.,negative
Education in Bindura is key for our future.,positive
Youth unemployment in Marondera is a crisis.,negative
Political unrest in Bulawayo is concerning.,negative
Political unrest in Bulawayo is concerning.,negative
Youth unemployment in Marondera is a crisis.,negative
Great leadership in Mutare are turing the city into world class city,positive
Political unrest in Hwange is concerning.,negative
Investment in tourism in Masvingo is crucial.,positive
Great leadership in African parks safari in kariba,positive
Customers happily received our products in the market,neutral This is a positive test tweet about Zimbabwe!,positive
This is a negative test tweet about corruption.,negative
This is a neutral test tweet about weather.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460073574,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460075150,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly.,positive
The performance is awful after the latest update. Everything is lagging. #1749460081151,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460073574,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460075150,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly.,positive
The performance is awful after the latest update. Everything is lagging. #1749460081151,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460087148,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460089151,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Updated the app today. Seems to be working as expected. #1749460093160,neutral
"The app works fine, nothing special but gets the job done.",neutral
This new feature is a game-changer! Can't believe how much time it saves.,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
The performance is awful after the latest update. Everything is lagging. #1749460101151,negative
Updated the app today. Seems to be working as expected.,neutral
Updated the app today. Seems to be working as expected.,neutral
Outstanding performance and reliability. Highly recommend!,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done. #1749460117155",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging. #1749460121162,negative
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
The performance is awful after the latest update. Everything is lagging. #1749460127149,negative
Love the new design! Much more intuitive and user-friendly.,positive
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460073574,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460075150,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly.,positive
The performance is awful after the latest update. Everything is lagging. #1749460081151,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460087148,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460089151,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Updated the app today. Seems to be working as expected. #1749460093160,neutral
"The app works fine, nothing special but gets the job done.",neutral
This new feature is a game-changer! Can't believe how much time it saves.,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
The performance is awful after the latest update. Everything is lagging. #1749460101151,negative
Updated the app today. Seems to be working as expected.,neutral
Updated the app today. Seems to be working as expected.,neutral
Outstanding performance and reliability. Highly recommend!,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done. #1749460117155",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging. #1749460121162,negative
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
The performance is awful after the latest update. Everything is lagging. #1749460127149,negative
Love the new design! Much more intuitive and user-friendly.,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460131580,negative
The performance is awful after the latest update. Everything is lagging.,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
"The app works fine, nothing special but gets the job done. #1749460137158",neutral
Disappointed with the latest update. The interface is confusing and slow. #1749460139151,negative
"The app works fine, nothing special but gets the job done.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Love the new design! Much more intuitive and user-friendly.,positive
"The app works fine, nothing special but gets the job done.",neutral
The performance is awful after the latest update. Everything is lagging. #1749460151147,negative
"The app works fine, nothing special but gets the job done. #1749460153154",neutral
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460157148,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460159149,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460163161,positive
Terrible customer service. Been waiting for a response for days.,negative
Disappointed with the latest update. The interface is confusing and slow.,negative
"The app is okay, I use it occasionally for basic tasks. #1749460169160",neutral
Love the new design! Much more intuitive and user-friendly.,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460173148,positive
Love the new design! Much more intuitive and user-friendly. #1749460175153,positive
Terrible customer service. Been waiting for a response for days.,negative
"The app works fine, nothing special but gets the job done.",neutral
Love the new design! Much more intuitive and user-friendly.,positive
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
This new feature is a game-changer! Can't believe how much time it saves. #1749460187150,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Outstanding performance and reliability. Highly recommend!,positive
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460073574,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460075150,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly.,positive
The performance is awful after the latest update. Everything is lagging. #1749460081151,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460087148,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460089151,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Updated the app today. Seems to be working as expected. #1749460093160,neutral
"The app works fine, nothing special but gets the job done.",neutral
This new feature is a game-changer! Can't believe how much time it saves.,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
The performance is awful after the latest update. Everything is lagging. #1749460101151,negative
Updated the app today. Seems to be working as expected.,neutral
Updated the app today. Seems to be working as expected.,neutral
Outstanding performance and reliability. Highly recommend!,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done. #1749460117155",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging. #1749460121162,negative
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
The performance is awful after the latest update. Everything is lagging. #1749460127149,negative
Love the new design! Much more intuitive and user-friendly.,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460131580,negative
The performance is awful after the latest update. Everything is lagging.,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
"The app works fine, nothing special but gets the job done. #1749460137158",neutral
Disappointed with the latest update. The interface is confusing and slow. #1749460139151,negative
"The app works fine, nothing special but gets the job done.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Love the new design! Much more intuitive and user-friendly.,positive
"The app works fine, nothing special but gets the job done.",neutral
The performance is awful after the latest update. Everything is lagging. #1749460151147,negative
"The app works fine, nothing special but gets the job done. #1749460153154",neutral
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460157148,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460159149,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460163161,positive
Terrible customer service. Been waiting for a response for days.,negative
Disappointed with the latest update. The interface is confusing and slow.,negative
"The app is okay, I use it occasionally for basic tasks. #1749460169160",neutral
Love the new design! Much more intuitive and user-friendly.,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460173148,positive
Love the new design! Much more intuitive and user-friendly. #1749460175153,positive
Terrible customer service. Been waiting for a response for days.,negative
"The app works fine, nothing special but gets the job done.",neutral
Love the new design! Much more intuitive and user-friendly.,positive
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
This new feature is a game-changer! Can't believe how much time it saves. #1749460187150,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Outstanding performance and reliability. Highly recommend!,positive
Updated the app today. Seems to be working as expected.,neutral
Love the new design! Much more intuitive and user-friendly. #1749460199188,positive
Terrible customer service. Been waiting for a response for days.,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460203149,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days.,negative
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460029153,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460031150,negative
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
Terrible customer service. Been waiting for a response for days.,negative
Updated the app today. Seems to be working as expected.,neutral
"The app is okay, I use it occasionally for basic tasks.",neutral
Terrible customer service. Been waiting for a response for days. #1749460045151,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460047148,negative
Love the new design! Much more intuitive and user-friendly. #1749460049147,positive
"The app is okay, I use it occasionally for basic tasks. #1749460051148",neutral
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done.",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging.,negative
This new feature is a game-changer! Can't believe how much time it saves.,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460067154,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460069153,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460073574,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460075150,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly.,positive
The performance is awful after the latest update. Everything is lagging. #1749460081151,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Disappointed with the latest update. The interface is confusing and slow. #1749460087148,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460089151,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Updated the app today. Seems to be working as expected. #1749460093160,neutral
"The app works fine, nothing special but gets the job done.",neutral
This new feature is a game-changer! Can't believe how much time it saves.,positive
This new feature is a game-changer! Can't believe how much time it saves.,positive
The performance is awful after the latest update. Everything is lagging. #1749460101151,negative
Updated the app today. Seems to be working as expected.,neutral
Updated the app today. Seems to be working as expected.,neutral
Outstanding performance and reliability. Highly recommend!,positive
Outstanding performance and reliability. Highly recommend!,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
The performance is awful after the latest update. Everything is lagging.,negative
Outstanding performance and reliability. Highly recommend!,positive
"The app works fine, nothing special but gets the job done. #1749460117155",neutral
Outstanding performance and reliability. Highly recommend!,positive
The performance is awful after the latest update. Everything is lagging. #1749460121162,negative
Outstanding performance and reliability. Highly recommend!,positive
Terrible customer service. Been waiting for a response for days.,negative
The performance is awful after the latest update. Everything is lagging. #1749460127149,negative
Love the new design! Much more intuitive and user-friendly.,positive
Disappointed with the latest update. The interface is confusing and slow. #1749460131580,negative
The performance is awful after the latest update. Everything is lagging.,negative
"The app is okay, I use it occasionally for basic tasks.",neutral
"The app works fine, nothing special but gets the job done. #1749460137158",neutral
Disappointed with the latest update. The interface is confusing and slow. #1749460139151,negative
"The app works fine, nothing special but gets the job done.",neutral
Disappointed with the latest update. The interface is confusing and slow.,negative
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible.,positive
Love the new design! Much more intuitive and user-friendly.,positive
"The app works fine, nothing special but gets the job done.",neutral
The performance is awful after the latest update. Everything is lagging. #1749460151147,negative
"The app works fine, nothing special but gets the job done. #1749460153154",neutral
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460157148,positive
Just tried the new AI feature and it's absolutely amazing! The accuracy is incredible. #1749460159149,positive
Terrible customer service. Been waiting for a response for days.,negative
Love the new design! Much more intuitive and user-friendly. #1749460163161,positive
Terrible customer service. Been waiting for a response for days.,negative
Disappointed with the latest update. The interface is confusing and slow.,negative
"The app is okay, I use it occasionally for basic tasks. #1749460169160",neutral
Love the new design! Much more intuitive and user-friendly.,positive
This new feature is a game-changer! Can't believe how much time it saves. #1749460173148,positive
Love the new design! Much more intuitive and user-friendly. #1749460175153,positive
Terrible customer service. Been waiting for a response for days.,negative
"The app works fine, nothing special but gets the job done.",neutral
Love the new design! Much more intuitive and user-friendly.,positive
